fecha,banco,tco,tx,monto_usd,timestamp_utc
2026-07-06,SOLIDARIO,9.9,34,962170,2026-07-07T04:10:51.401430+00:00
2026-07-06,UNIÓN,9.83,64,180125,2026-07-07T04:10:51.401430+00:00
2026-07-07,BCR,9.91,20,818300,2026-07-08T03:34:57.712221+00:00
2026-07-07,BISA,9.97,65,5791895,2026-07-08T03:34:57.712221+00:00
2026-07-07,BNA,9.82,11,33464,2026-07-08T03:34:57.712221+00:00
2026-07-07,BNB,9.95,159,5858183,2026-07-08T03:34:57.712221+00:00
2026-07-07,ECOFUTURO,9.49,3,107,2026-07-08T03:34:57.712221+00:00
2026-07-07,ECONÓMICO,9.99,29,1336920,2026-07-08T03:34:57.712221+00:00
2026-07-07,FIE,9.79,25,14763,2026-07-08T03:34:57.712221+00:00
2026-07-07,FORTALEZA,9.89,2,200,2026-07-08T03:34:57.712221+00:00
2026-07-07,GANADERO,9.95,545,6275603,2026-07-08T03:34:57.712221+00:00
2026-07-07,MERCANTIL,10.01,141,1041185,2026-07-08T03:34:57.712221+00:00
2026-07-07,PRODEM,9.79,9,13867,2026-07-08T03:34:57.712221+00:00
2026-07-07,PYME COM.,9.89,1,2000,2026-07-08T03:34:57.712221+00:00
2026-07-07,SOLIDARIO,9.97,20,2513272,2026-07-08T03:34:57.712221+00:00
2026-07-07,UNIÓN,9.89,79,159336,2026-07-08T03:34:57.712221+00:00
2026-07-08,BCR,10.07,23,1264766,2026-07-09T04:05:12.353702+00:00
2026-07-08,BISA,10.09,85,3680119,2026-07-09T04:05:12.353702+00:00
2026-07-08,BNA,9.86,10,3320,2026-07-09T04:05:12.353702+00:00
2026-07-08,BNB,9.94,204,3606295,2026-07-09T04:05:12.353702+00:00
2026-07-08,ECOFUTURO,9.56,3,422,2026-07-09T04:05:12.353702+00:00
2026-07-08,ECONÓMICO,9.92,17,35333,2026-07-09T04:05:12.353702+00:00
2026-07-08,FIE,9.86,22,12445,2026-07-09T04:05:12.353702+00:00
2026-07-08,FORTALEZA,10.07,2,425000,2026-07-09T04:05:12.353702+00:00
2026-07-08,GANADERO,10.04,290,6582110,2026-07-09T04:05:12.353702+00:00
2026-07-08,MERCANTIL,10.21,162,11639754,2026-07-09T04:05:12.353702+00:00
2026-07-08,PRODEM,9.86,13,57246,2026-07-09T04:05:12.353702+00:00
2026-07-08,PYME COM.,9.96,3,1101,2026-07-09T04:05:12.353702+00:00
2026-07-08,SOLIDARIO,10.06,36,1099352,2026-07-09T04:05:12.353702+00:00
2026-07-08,UNIÓN,9.96,68,47994,2026-07-09T04:05:12.353702+00:00
2026-07-09,BCR,10.26,54,5187313,2026-07-10T04:04:26.513565+00:00
2026-07-09,BISA,10.23,50,3902015,2026-07-10T04:04:26.513565+00:00
2026-07-09,BNA,10.0,8,2932,2026-07-10T04:04:26.513565+00:00
2026-07-09,BNB,10.14,214,3667634,2026-07-10T04:04:26.513565+00:00
2026-07-09,ECOFUTURO,9.7,1,10,2026-07-10T04:04:26.513565+00:00
2026-07-09,ECONÓMICO,10.24,37,724752,2026-07-10T04:04:26.513565+00:00
2026-07-09,FIE,10.0,14,31651,2026-07-10T04:04:26.513565+00:00
2026-07-09,FORTALEZA,7.5,2,1814,2026-07-10T04:04:26.513565+00:00
2026-07-09,GANADERO,10.13,277,4104284,2026-07-10T04:04:26.513565+00:00
2026-07-09,MERCANTIL,10.28,133,9884451,2026-07-10T04:04:26.513565+00:00
2026-07-09,PRODEM,10.0,15,70219,2026-07-10T04:04:26.513565+00:00
2026-07-09,PYME COM.,10.1,4,570,2026-07-10T04:04:26.513565+00:00
2026-07-09,SOLIDARIO,10.38,41,2131145,2026-07-10T04:04:26.513565+00:00
2026-07-09,UNIÓN,10.1,80,59816,2026-07-10T04:04:26.513565+00:00
2026-07-10,BCR,10.57,34,5834653,2026-07-11T00:07:52.116915+00:00
2026-07-10,BISA,10.38,91,8250425,2026-07-11T00:07:52.116915+00:00
2026-07-10,BNA,10.18,16,5190,2026-07-11T00:07:52.116915+00:00
2026-07-10,BNB,10.24,225,10288924,2026-07-11T00:07:52.116915+00:00
2026-07-10,ECOFUTURO,9.84,2,112,2026-07-11T00:07:52.116915+00:00
2026-07-10,ECONÓMICO,10.54,30,3806369,2026-07-11T00:07:52.116915+00:00
2026-07-10,FIE,10.19,11,4985,2026-07-11T00:07:52.116915+00:00
2026-07-10,FORTALEZA,10.27,3,48871,2026-07-11T00:07:52.116915+00:00
2026-07-10,GANADERO,10.3,246,3484965,2026-07-11T00:07:52.116915+00:00
2026-07-10,MERCANTIL,10.33,209,800634,2026-07-11T00:07:52.116915+00:00
2026-07-10,PRODEM,10.14,9,3750,2026-07-11T00:07:52.116915+00:00
2026-07-10,PYME COM.,10.24,1,68,2026-07-11T00:07:52.116915+00:00
2026-07-10,SOLIDARIO,10.57,37,4015518,2026-07-11T00:07:52.116915+00:00
2026-07-10,UNIÓN,10.24,80,339509,2026-07-11T00:07:52.116915+00:00
2026-07-13,BCR,10.38,82,256829,2026-07-14T02:10:22.662671+00:00
2026-07-13,BISA,10.53,48,2289085,2026-07-14T02:10:22.662671+00:00
2026-07-13,BNA,10.35,16,2526,2026-07-14T02:10:22.662671+00:00
2026-07-13,BNB,10.34,242,442571,2026-07-14T02:10:22.662671+00:00
2026-07-13,ECOFUTURO,10.0,2,99,2026-07-14T02:10:22.662671+00:00
2026-07-13,ECONÓMICO,10.53,29,432291,2026-07-14T02:10:22.662671+00:00
2026-07-13,FIE,10.49,23,398680,2026-07-14T02:10:22.662671+00:00
2026-07-13,FORTALEZA,10.4,6,70,2026-07-14T02:10:22.662671+00:00
2026-07-13,GANADERO,10.11,222,1560817,2026-07-14T02:10:22.662671+00:00
2026-07-13,MERCANTIL,10.66,193,3619878,2026-07-14T02:10:22.662671+00:00
2026-07-13,PRODEM,10.3,14,19587,2026-07-14T02:10:22.662671+00:00
2026-07-13,PYME COM.,10.4,1,252,2026-07-14T02:10:22.662671+00:00
2026-07-13,SOLIDARIO,10.55,27,2250803,2026-07-14T02:10:22.662671+00:00
2026-07-13,UNIÓN,10.4,126,254558,2026-07-14T02:10:22.662671+00:00
2026-07-14,BCR,10.73,112,4822134,2026-07-15T02:44:40.533188+00:00
2026-07-14,BISA,10.59,44,11966870,2026-07-15T02:44:40.533188+00:00
2026-07-14,BNA,10.43,8,9320,2026-07-15T02:44:40.533188+00:00
2026-07-14,BNB,10.4,177,392776,2026-07-15T02:44:40.533188+00:00
2026-07-14,ECOFUTURO,10.1,6,1146,2026-07-15T02:44:40.533188+00:00
2026-07-14,ECONÓMICO,10.72,39,2962605,2026-07-15T02:44:40.533188+00:00
2026-07-14,FIE,10.8,26,2222232,2026-07-15T02:44:40.533188+00:00
2026-07-14,FORTALEZA,10.7,3,50545,2026-07-15T02:44:40.533188+00:00
2026-07-14,GANADERO,10.58,237,5196937,2026-07-15T02:44:40.533188+00:00
2026-07-14,MERCANTIL,10.81,163,14928796,2026-07-15T02:44:40.533188+00:00
2026-07-14,PRODEM,10.4,15,11639,2026-07-15T02:44:40.533188+00:00
2026-07-14,PYME COM.,10.5,4,2129,2026-07-15T02:44:40.533188+00:00
2026-07-14,SOLIDARIO,10.52,36,316661,2026-07-15T02:44:40.533188+00:00
2026-07-14,UNIÓN,10.5,137,104882,2026-07-15T02:44:40.533188+00:00
2026-07-15,BCR,10.84,105,3198820,2026-07-16T16:53:25.667731+00:00
2026-07-15,BISA,10.71,34,302164,2026-07-16T16:53:25.667731+00:00
2026-07-15,BNA,10.69,11,89048,2026-07-16T16:53:25.667731+00:00
2026-07-15,BNB,10.75,299,2835854,2026-07-16T16:53:25.667731+00:00
2026-07-15,ECOFUTURO,10.3,4,600,2026-07-16T16:53:25.667731+00:00
2026-07-15,ECONÓMICO,10.67,39,457222,2026-07-16T16:53:25.667731+00:00
2026-07-15,FIE,10.6,31,4732,2026-07-16T16:53:25.667731+00:00
2026-07-15,FORTALEZA,10.77,6,654089,2026-07-16T16:53:25.667731+00:00
2026-07-15,GANADERO,10.69,444,7088776,2026-07-16T16:53:25.667731+00:00
2026-07-15,MERCANTIL,10.69,208,934189,2026-07-16T16:53:25.667731+00:00
2026-07-15,PRODEM,10.6,8,13772,2026-07-16T16:53:25.667731+00:00
2026-07-15,PYME COM.,10.7,5,1074,2026-07-16T16:53:25.667731+00:00
2026-07-15,SOLIDARIO,10.9,48,2004616,2026-07-16T16:53:25.667731+00:00
2026-07-15,UNIÓN,10.7,210,543561,2026-07-16T16:53:25.667731+00:00
2026-07-17,BCR,10.86,91,1705266,2026-07-18T02:46:17.094383+00:00
2026-07-17,BISA,10.93,121,8439237,2026-07-18T02:46:17.094383+00:00
2026-07-17,BNA,10.74,17,133165,2026-07-18T02:46:17.094383+00:00
2026-07-17,BNB,10.75,260,7903358,2026-07-18T02:46:17.094383+00:00
2026-07-17,ECOFUTURO,11.13,6,585421,2026-07-18T02:46:17.094383+00:00
2026-07-17,ECONÓMICO,10.75,34,39890,2026-07-18T02:46:17.094383+00:00
2026-07-17,FIE,10.65,24,5701,2026-07-18T02:46:17.094383+00:00
2026-07-17,FORTALEZA,10.8,9,812621,2026-07-18T02:46:17.094383+00:00
2026-07-17,GANADERO,10.88,258,10013630,2026-07-18T02:46:17.094383+00:00
2026-07-17,MERCANTIL,10.82,169,6464449,2026-07-18T02:46:17.094383+00:00
2026-07-17,PRODEM,10.65,9,1485,2026-07-18T02:46:17.094383+00:00
2026-07-17,PYME COM.,10.75,3,1211,2026-07-18T02:46:17.094383+00:00
2026-07-17,SOLIDARIO,10.99,40,671115,2026-07-18T02:46:17.094383+00:00
2026-07-17,UNIÓN,10.75,218,1040058,2026-07-18T02:46:17.094383+00:00
2026-07-20,BCR,10.9,104,1724580,2026-07-21T00:41:21.410016+00:00
2026-07-20,BISA,10.94,46,6294201,2026-07-21T00:41:21.410016+00:00
2026-07-20,BNA,10.76,35,2739,2026-07-21T00:41:21.410016+00:00
2026-07-20,BNB,10.78,222,263127,2026-07-21T00:41:21.410016+00:00
2026-07-20,ECOFUTURO,10.45,6,6050,2026-07-21T00:41:21.410016+00:00
2026-07-20,ECONÓMICO,10.84,29,65265,2026-07-21T00:41:21.410016+00:00
2026-07-20,FIE,10.75,24,4003,2026-07-21T00:41:21.410016+00:00
2026-07-20,FORTALEZA,10.79,12,63063,2026-07-21T00:41:21.410016+00:00
2026-07-20,GANADERO,10.86,217,4292292,2026-07-21T00:41:21.410016+00:00
2026-07-20,MERCANTIL,10.85,154,1003630,2026-07-21T00:41:21.410016+00:00
2026-07-20,PRODEM,10.75,8,3923,2026-07-21T00:41:21.410016+00:00
2026-07-20,PYME COM.,10.85,5,457,2026-07-21T00:41:21.410016+00:00
2026-07-20,SOLIDARIO,11.01,51,695397,2026-07-21T00:41:21.410016+00:00
2026-07-20,UNIÓN,10.9,275,838491,2026-07-21T00:41:21.410016+00:00
2026-07-21,BCR,11.06,65,840759,2026-07-22T02:54:06.209960+00:00
2026-07-21,BISA,11.0,89,8519844,2026-07-22T02:54:06.209960+00:00
2026-07-21,BNA,10.96,20,55805,2026-07-22T02:54:06.209960+00:00
2026-07-21,BNB,10.91,236,1157721,2026-07-22T02:54:06.209960+00:00
2026-07-21,ECOFUTURO,10.9,6,200187,2026-07-22T02:54:06.209960+00:00
2026-07-21,ECONÓMICO,10.8,35,10840,2026-07-22T02:54:06.209960+00:00
2026-07-21,FIE,10.9,15,427580,2026-07-22T02:54:06.209960+00:00
2026-07-21,FORTALEZA,10.96,8,101420,2026-07-22T02:54:06.209960+00:00
2026-07-21,GANADERO,10.98,302,4328290,2026-07-22T02:54:06.209960+00:00
2026-07-21,MERCANTIL,10.91,138,664484,2026-07-22T02:54:06.209960+00:00
2026-07-21,PRODEM,10.8,10,6503,2026-07-22T02:54:06.209960+00:00
2026-07-21,PYME COM.,10.9,11,1676,2026-07-22T02:54:06.209960+00:00
2026-07-21,SOLIDARIO,11.06,45,7887965,2026-07-22T02:54:06.209960+00:00
2026-07-21,UNIÓN,10.9,158,619773,2026-07-22T02:54:06.209960+00:00
2026-07-22,BCR,11.12,57,4166320,2026-07-23T14:23:08.633277+00:00
2026-07-22,BISA,11.09,96,10191351,2026-07-23T14:23:08.633277+00:00
2026-07-22,BNA,10.92,19,5106,2026-07-23T14:23:08.633277+00:00
2026-07-22,BNB,11.09,263,6776276,2026-07-23T14:23:08.633277+00:00
2026-07-22,ECOFUTURO,10.6,5,1520,2026-07-23T14:23:08.633277+00:00
2026-07-22,ECONÓMICO,11.19,37,2129943,2026-07-23T14:23:08.633277+00:00
2026-07-22,FIE,10.9,21,4591,2026-07-23T14:23:08.633277+00:00
2026-07-22,FORTALEZA,10.98,10,104772,2026-07-23T14:23:08.633277+00:00
2026-07-22,GANADERO,11.19,261,10339224,2026-07-23T14:23:08.633277+00:00
2026-07-22,MERCANTIL,11.11,313,3134714,2026-07-23T14:23:08.633277+00:00
2026-07-22,PRODEM,10.9,8,12127,2026-07-23T14:23:08.633277+00:00
2026-07-22,PYME COM.,11.0,6,1178,2026-07-23T14:23:08.633277+00:00
2026-07-22,SOLIDARIO,11.24,39,1991354,2026-07-23T14:23:08.633277+00:00
2026-07-22,UNIÓN,11.0,81,179799,2026-07-23T14:23:08.633277+00:00
2026-07-23,BCR,11.18,65,556143,2026-07-24T03:34:36.002428+00:00
2026-07-23,BISA,11.22,95,10524285,2026-07-24T03:34:36.002428+00:00
2026-07-23,BNA,11.03,17,20972,2026-07-24T03:34:36.002428+00:00
2026-07-23,BNB,11.11,220,3687810,2026-07-24T03:34:36.002428+00:00
2026-07-23,ECOFUTURO,10.73,3,470,2026-07-24T03:34:36.002428+00:00
2026-07-23,ECONÓMICO,11.23,35,443327,2026-07-24T03:34:36.002428+00:00
2026-07-23,FIE,11.03,15,2814,2026-07-24T03:34:36.002428+00:00
2026-07-23,FORTALEZA,11.36,8,546641,2026-07-24T03:34:36.002428+00:00
2026-07-23,GANADERO,11.19,369,6866825,2026-07-24T03:34:36.002428+00:00
2026-07-23,MERCANTIL,11.27,196,3743530,2026-07-24T03:34:36.002428+00:00
2026-07-23,PRODEM,11.03,10,103793,2026-07-24T03:34:36.002428+00:00
2026-07-23,PYME COM.,11.13,8,6085,2026-07-24T03:34:36.002428+00:00
2026-07-23,SOLIDARIO,11.31,42,2006683,2026-07-24T03:34:36.002428+00:00
2026-07-23,UNIÓN,11.13,65,55282,2026-07-24T03:34:36.002428+00:00
2026-07-24,BCR,11.56,57,4815867,2026-07-25T03:31:36.533438+00:00
2026-07-24,BISA,11.38,102,12716265,2026-07-25T03:31:36.533438+00:00
2026-07-24,BNA,11.11,35,7462,2026-07-25T03:31:36.533438+00:00
2026-07-24,BNB,11.19,264,6862876,2026-07-25T03:31:36.533438+00:00
2026-07-24,ECOFUTURO,10.81,7,2980,2026-07-25T03:31:36.533438+00:00
2026-07-24,ECONÓMICO,11.5,32,1922257,2026-07-25T03:31:36.533438+00:00
2026-07-24,FIE,11.11,16,3355,2026-07-25T03:31:36.533438+00:00
2026-07-24,FORTALEZA,11.33,6,986507,2026-07-25T03:31:36.533438+00:00
2026-07-24,GANADERO,11.38,280,9615144,2026-07-25T03:31:36.533438+00:00
2026-07-24,MERCANTIL,11.06,221,823926,2026-07-25T03:31:36.533438+00:00
2026-07-24,PRODEM,11.11,15,2634,2026-07-25T03:31:36.533438+00:00
2026-07-24,PYME COM.,11.21,4,142044,2026-07-25T03:31:36.533438+00:00
2026-07-24,SOLIDARIO,11.42,41,460326,2026-07-25T03:31:36.533438+00:00
2026-07-24,UNIÓN,11.21,67,35890,2026-07-25T03:31:36.533438+00:00
2026-07-27,BCR,11.74,69,4096951,2026-07-28T03:26:36.818041+00:00
2026-07-27,BISA,11.54,53,3636725,2026-07-28T03:26:36.818041+00:00
2026-07-27,BNA,11.33,36,12619,2026-07-28T03:26:36.818041+00:00
2026-07-27,BNB,11.32,255,507386,2026-07-28T03:26:36.818041+00:00
2026-07-27,ECOFUTURO,10.97,4,350,2026-07-28T03:26:36.818041+00:00
2026-07-27,ECONÓMICO,11.45,39,3088493,2026-07-28T03:26:36.818041+00:00
2026-07-27,FIE,11.51,19,46440,2026-07-28T03:26:36.818041+00:00
2026-07-27,FORTALEZA,11.52,16,1067063,2026-07-28T03:26:36.818041+00:00
2026-07-27,GANADERO,11.41,214,4163882,2026-07-28T03:26:36.818041+00:00
2026-07-27,MERCANTIL,11.55,239,3158392,2026-07-28T03:26:36.818041+00:00
2026-07-27,PRODEM,11.27,23,22014,2026-07-28T03:26:36.818041+00:00
2026-07-27,PYME COM.,11.37,5,5293,2026-07-28T03:26:36.818041+00:00
2026-07-27,SOLIDARIO,11.54,38,1281388,2026-07-28T03:26:36.818041+00:00
2026-07-27,UNIÓN,11.37,59,53381,2026-07-28T03:26:36.818041+00:00
2026-07-28,BCR,11.78,68,1318312,2026-07-29T00:06:04.149986+00:00
2026-07-28,BISA,11.77,82,8944464,2026-07-29T00:06:04.149986+00:00
2026-07-28,BNA,11.51,26,24807,2026-07-29T00:06:04.149986+00:00
2026-07-28,BNB,11.55,264,2514828,2026-07-29T00:06:04.149986+00:00
2026-07-28,ECOFUTURO,11.39,8,242466,2026-07-29T00:06:04.149986+00:00
2026-07-28,ECONÓMICO,11.83,37,1863927,2026-07-29T00:06:04.149986+00:00
2026-07-28,FIE,12.06,24,3025087,2026-07-29T00:06:04.149986+00:00
2026-07-28,FORTALEZA,12.07,7,2000224,2026-07-29T00:06:04.149986+00:00
2026-07-28,GANADERO,11.73,279,11345343,2026-07-29T00:06:04.149986+00:00
2026-07-28,MERCANTIL,11.91,207,4864421,2026-07-29T00:06:04.149986+00:00
2026-07-28,PRODEM,11.44,16,5435,2026-07-29T00:06:04.149986+00:00
2026-07-28,PYME COM.,11.54,3,426,2026-07-29T00:06:04.149986+00:00
2026-07-28,SOLIDARIO,11.74,43,2661721,2026-07-29T00:06:04.149986+00:00
2026-07-28,UNIÓN,11.54,48,42014,2026-07-29T00:06:04.149986+00:00
2026-07-29,BCR,11.93,91,9214129,2026-07-30T00:06:10.780899+00:00
2026-07-29,BISA,12.01,71,8978675,2026-07-30T00:06:10.780899+00:00
2026-07-29,BNA,11.92,19,126013,2026-07-30T00:06:10.780899+00:00
2026-07-29,BNB,11.77,280,12769237,2026-07-30T00:06:10.780899+00:00
2026-07-29,ECOFUTURO,11.4,5,102330,2026-07-30T00:06:10.780899+00:00
2026-07-29,ECONÓMICO,11.96,51,1308703,2026-07-30T00:06:10.780899+00:00
2026-07-29,FIE,11.7,27,3769,2026-07-30T00:06:10.780899+00:00
2026-07-29,FORTALEZA,11.82,13,329802,2026-07-30T00:06:10.780899+00:00
2026-07-29,GANADERO,11.82,368,3801257,2026-07-30T00:06:10.780899+00:00
2026-07-29,MERCANTIL,11.92,234,3788154,2026-07-30T00:06:10.780899+00:00
2026-07-29,PRODEM,11.7,16,25950,2026-07-30T00:06:10.780899+00:00
2026-07-29,PYME COM.,11.8,6,6397,2026-07-30T00:06:10.780899+00:00
2026-07-29,SOLIDARIO,11.96,52,1091580,2026-07-30T00:06:10.780899+00:00
2026-07-29,UNIÓN,11.8,76,113341,2026-07-30T00:06:10.780899+00:00
2026-07-30,BCR,12.24,88,7088267,2026-07-31T00:17:18.868636+00:00
2026-07-30,BISA,12.16,74,13240160,2026-07-31T00:17:18.868636+00:00
2026-07-30,BNA,11.8,31,17861,2026-07-31T00:17:18.868636+00:00
2026-07-30,BNB,11.95,325,1483401,2026-07-31T00:17:18.868636+00:00
2026-07-30,ECOFUTURO,11.49,3,660,2026-07-31T00:17:18.868636+00:00
